exp_num   val_acc   val_loss  test_acc  test_loss 
9         0.98945   0.047132  0.99261   0.037924  
1         0.98854   0.047537  0.99256   0.038342  
0         0.9875    0.047559  0.99251   0.032054  
15        0.98971   0.042881  0.99214   0.035069  
6         0.98906   0.046955  0.99188   0.041871  
5         0.98893   0.044104  0.99188   0.037172  
8         0.98906   0.048433  0.99147   0.040401  
14        0.98958   0.042119  0.99131   0.03586   
2         0.98854   0.047628  0.99131   0.042561  
12        0.98802   0.043695  0.99121   0.039062  
10        0.98971   0.042661  0.9899    0.044994  
4         0.98971   0.041512  0.98985   0.041483  
11        0.98658   0.052771  0.9898    0.045335  
7         0.98606   0.055648  0.9897    0.053236  
17        0.98658   0.053274  0.98928   0.045374  
3         0.98971   0.044496  0.98912   0.046642  
16        0.98815   0.044756  0.98855   0.048389  
18        0.9871    0.056099  0.98845   0.052036  
13        0.98554   0.064376  0.98813   0.054719  
